brand,name,sub_name,country,price,shipping,link
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,43mm Titanium Grey Blue Dial,US,"$58,950","$2,500",https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-43mm-titanium-grey-blue-dial--id26420852.htm
Audemars Piguet,Audemars Piguet Royal Oak Double Balance Wheel Openworked,NEW Royal Oak Double Balance Wheel Openworked,US,"$219,000",$229,https://www.chrono24.com/audemarspiguet/audemars-piguet-new-royal-oak-double-balance-wheel-openworked--id27520929.htm
Audemars Piguet,Audemars Piguet Millenary Ladies,Hand-Wound Gold Diamond 77247OR.ZZ.A812CR.01,US,"$27,500",$99,https://www.chrono24.com/audemarspiguet/audemars-piguet-piguet-millenary-ladies-hand-wound-gold-diamond-77247orzza812cr01--id28339872.htm
Audemars Piguet,Audemars Piguet Royal Oak Dual Time,26120OR Rose Gold 39mm COMPLETE SET,US,"$37,995",$135,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-dual-time-26120or-rose-gold-39mm-complete-set--id28461309.htm
Audemars Piguet,Audemars Piguet Code 11.59,Selfwinding 15210OR.OO.A028CR.01,US,"$30,000",$99,https://www.chrono24.com/audemarspiguet/audemars-piguet-code-1159-selfwinding-15210orooa028cr01--id21810219.htm
Audemars Piguet,Audemars Piguet Royal Oak Jumbo,5402ST Black Dial Mens Watch,US,"$92,999",$95,https://www.chrono24.com/audemarspiguet/royal-oak-5402st-black-dial-mens-watch--id28422913.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,Unworn 2022 Royal Oak Offshore Chronograph 26238TI,US,"$43,950",$200,https://www.chrono24.com/audemarspiguet/unworn-2022-royal-oak-offshore-chronograph-26238ti--id28437351.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,26470ST Royal Oak Offshore Chronograph with Khaki Dial on Alligator,US,"$24,875",$99,https://www.chrono24.com/audemarspiguet/audemars-piguet-26470st-royal-oak-offshore-chronograph-with-khaki-dial-on-alligator--id27983012.htm
Audemars Piguet,Audemars Piguet Royal Oak Lady,67650SR Steel & 18K Rose Gold Pink Dial,US,"$29,199",Free shipping,https://www.chrono24.com/audemarspiguet/royal-oak-67650sr-steel--18k-rose-gold-pink-dial--id21610758.htm
Audemars Piguet,Audemars Piguet Royal Oak Perpetual Calendar,26579CE.OO.1225CE.01,US,"$250,000","$2,500",https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-perpetual-calendar--id23027211.htm
Audemars Piguet,Audemars Piguet Royal Oak Double Balance Wheel Openworked,NEW Royal Oak Double Balance Wheel Openworked 41mm,US,"$299,900",$229,https://www.chrono24.com/audemarspiguet/audemars-piguet-new-royal-oak-double-balance-wheel-openworked-41mm--id27520911.htm
Audemars Piguet,Audemars Piguet,Joaillerie Collection Gala white Gold 18kt Factory Baguette Diamonds One of a Kind,ES,"$76,928",$136,https://www.chrono24.com/audemarspiguet/joaillerie-collection-gala-white-gold-18kt-factory-baguette-diamonds-one-of-a-kind--id26557868.htm
Audemars Piguet,Audemars Piguet Royal Oak Selfwinding,15300st Royal Oak 39mm Blue Dial Complete Set UNWORN,US,"$44,500",$135,https://www.chrono24.com/audemarspiguet/audemars-piguet-15300st-royal-oak-39mm-blue-dial-complete-set-unworn--id28396072.htm
